ÁöÁ¡,ÁöÁ¡¸í,ÀÏ½Ã,ÀÏ ¹Ì¼¼¸ÕÁö ³óµµ(§¶/§©)
116,°ü¾Ç»ê,2017-03-29,43
116,°ü¾Ç»ê,2017-03-30,52
116,°ü¾Ç»ê,2017-03-31,54
116,°ü¾Ç»ê,2017-04-01,20
116,°ü¾Ç»ê,2017-04-02,37
116,°ü¾Ç»ê,2017-04-03,51
116,°ü¾Ç»ê,2017-04-04,50
116,°ü¾Ç»ê,2017-04-05,28
116,°ü¾Ç»ê,2017-04-06,11
116,°ü¾Ç»ê,2017-04-07,30
116,°ü¾Ç»ê,2017-04-08,41
116,°ü¾Ç»ê,2017-04-09,28
116,°ü¾Ç»ê,2017-04-10,18
116,°ü¾Ç»ê,2017-04-11,47
116,°ü¾Ç»ê,2017-04-12,57
116,°ü¾Ç»ê,2017-04-13,58
116,°ü¾Ç»ê,2017-04-14,35
116,°ü¾Ç»ê,2017-04-15,45
116,°ü¾Ç»ê,2017-04-16,34
116,°ü¾Ç»ê,2017-04-17,24
116,°ü¾Ç»ê,2017-04-18,24
116,°ü¾Ç»ê,2017-04-20,54
116,°ü¾Ç»ê,2017-04-21,50
116,°ü¾Ç»ê,2017-04-22,45
116,°ü¾Ç»ê,2017-04-23,34
116,°ü¾Ç»ê,2017-04-24,28
116,°ü¾Ç»ê,2017-04-25,40
116,°ü¾Ç»ê,2017-04-26,35
116,°ü¾Ç»ê,2017-04-27,33
116,°ü¾Ç»ê,2017-04-28,44
116,°ü¾Ç»ê,2017-04-29,41
116,°ü¾Ç»ê,2017-04-30,72
116,°ü¾Ç»ê,2017-05-01,80
116,°ü¾Ç»ê,2017-05-02,78
116,°ü¾Ç»ê,2017-05-03,52
116,°ü¾Ç»ê,2017-05-04,40
116,°ü¾Ç»ê,2017-05-05,37
116,°ü¾Ç»ê,2017-05-06,144
116,°ü¾Ç»ê,2017-05-07,76
116,°ü¾Ç»ê,2017-05-08,152
116,°ü¾Ç»ê,2017-05-09,85
116,°ü¾Ç»ê,2017-05-10,26
116,°ü¾Ç»ê,2017-05-11,56
116,°ü¾Ç»ê,2017-05-12,50
116,°ü¾Ç»ê,2017-05-13,32
116,°ü¾Ç»ê,2017-05-14,44
116,°ü¾Ç»ê,2017-05-15,35
116,°ü¾Ç»ê,2017-05-16,23
116,°ü¾Ç»ê,2017-05-17,26
116,°ü¾Ç»ê,2017-05-18,34
116,°ü¾Ç»ê,2017-05-19,28
116,°ü¾Ç»ê,2017-05-20,19
116,°ü¾Ç»ê,2017-05-21,21
116,°ü¾Ç»ê,2017-05-22,33
116,°ü¾Ç»ê,2017-05-23,23
116,°ü¾Ç»ê,2017-05-24,17
116,°ü¾Ç»ê,2017-05-25,31
116,°ü¾Ç»ê,2017-05-26,20
116,°ü¾Ç»ê,2017-05-27,23
116,°ü¾Ç»ê,2017-05-28,35
116,°ü¾Ç»ê,2017-05-29,50
116,°ü¾Ç»ê,2017-06-01,25
116,°ü¾Ç»ê,2017-06-02,22
116,°ü¾Ç»ê,2017-06-03,23
116,°ü¾Ç»ê,2017-06-04,22
116,°ü¾Ç»ê,2017-06-05,21
116,°ü¾Ç»ê,2017-06-06,16
116,°ü¾Ç»ê,2017-06-08,30
116,°ü¾Ç»ê,2017-06-09,46
116,°ü¾Ç»ê,2017-06-10,35
116,°ü¾Ç»ê,2017-06-11,23
116,°ü¾Ç»ê,2017-06-12,24
116,°ü¾Ç»ê,2017-06-13,27
116,°ü¾Ç»ê,2017-06-14,28
116,°ü¾Ç»ê,2017-06-15,38
116,°ü¾Ç»ê,2017-06-16,50
116,°ü¾Ç»ê,2017-06-17,38
116,°ü¾Ç»ê,2017-06-18,28
116,°ü¾Ç»ê,2017-06-19,33
116,°ü¾Ç»ê,2017-06-20,33
116,°ü¾Ç»ê,2017-06-21,38
116,°ü¾Ç»ê,2017-06-22,28
116,°ü¾Ç»ê,2017-06-23,34
116,°ü¾Ç»ê,2017-06-24,29
116,°ü¾Ç»ê,2017-06-25,28
116,°ü¾Ç»ê,2017-06-26,18
116,°ü¾Ç»ê,2017-06-27,24
116,°ü¾Ç»ê,2017-06-28,34
116,°ü¾Ç»ê,2017-06-29,36
116,°ü¾Ç»ê,2017-06-30,41
116,°ü¾Ç»ê,2017-07-01,39
116,°ü¾Ç»ê,2017-07-02,8
116,°ü¾Ç»ê,2017-07-03,11
116,°ü¾Ç»ê,2017-07-04,22
116,°ü¾Ç»ê,2017-07-05,33
116,°ü¾Ç»ê,2017-07-06,40
116,°ü¾Ç»ê,2017-07-07,12
116,°ü¾Ç»ê,2017-07-08,10
116,°ü¾Ç»ê,2017-07-09,23
116,°ü¾Ç»ê,2017-07-11,29
116,°ü¾Ç»ê,2017-07-12,31
116,°ü¾Ç»ê,2017-07-13,38
116,°ü¾Ç»ê,2017-07-14,35
116,°ü¾Ç»ê,2017-07-15,10
116,°ü¾Ç»ê,2017-07-16,12
116,°ü¾Ç»ê,2017-07-17,14
116,°ü¾Ç»ê,2017-07-18,19
116,°ü¾Ç»ê,2017-07-19,34
116,°ü¾Ç»ê,2017-07-20,44
116,°ü¾Ç»ê,2017-07-21,42
116,°ü¾Ç»ê,2017-07-22,39
116,°ü¾Ç»ê,2017-07-23,21
116,°ü¾Ç»ê,2017-07-24,18
116,°ü¾Ç»ê,2017-07-25,20
116,°ü¾Ç»ê,2017-07-27,27
116,°ü¾Ç»ê,2017-07-29,10
116,°ü¾Ç»ê,2017-07-30,19
116,°ü¾Ç»ê,2017-08-01,17
116,°ü¾Ç»ê,2017-08-02,26
116,°ü¾Ç»ê,2017-08-03,21
116,°ü¾Ç»ê,2017-08-04,24
116,°ü¾Ç»ê,2017-08-05,24
116,°ü¾Ç»ê,2017-08-06,21
116,°ü¾Ç»ê,2017-08-07,24
116,°ü¾Ç»ê,2017-08-08,31
116,°ü¾Ç»ê,2017-08-09,28
116,°ü¾Ç»ê,2017-08-13,13
116,°ü¾Ç»ê,2017-08-14,7
116,°ü¾Ç»ê,2017-08-17,12
116,°ü¾Ç»ê,2017-08-19,24
116,°ü¾Ç»ê,2017-08-21,9
116,°ü¾Ç»ê,2017-08-27,18
116,°ü¾Ç»ê,2017-08-28,25
116,°ü¾Ç»ê,2017-08-31,31
116,°ü¾Ç»ê,2017-09-01,19
116,°ü¾Ç»ê,2017-09-02,26
116,°ü¾Ç»ê,2017-09-03,33
116,°ü¾Ç»ê,2017-09-06,28
116,°ü¾Ç»ê,2017-09-07,30
116,°ü¾Ç»ê,2017-09-08,37
116,°ü¾Ç»ê,2017-09-09,46
116,°ü¾Ç»ê,2017-09-10,42
116,°ü¾Ç»ê,2017-09-11,16
116,°ü¾Ç»ê,2017-09-14,24
116,°ü¾Ç»ê,2017-09-15,16
116,°ü¾Ç»ê,2017-09-18,18
116,°ü¾Ç»ê,2017-09-19,43
116,°ü¾Ç»ê,2017-09-20,20
116,°ü¾Ç»ê,2017-09-21,25
116,°ü¾Ç»ê,2017-09-22,26
116,°ü¾Ç»ê,2017-09-23,40
116,°ü¾Ç»ê,2017-09-24,47
116,°ü¾Ç»ê,2017-09-25,35
116,°ü¾Ç»ê,2017-09-26,44
116,°ü¾Ç»ê,2017-09-27,29
116,°ü¾Ç»ê,2017-09-28,20
116,°ü¾Ç»ê,2017-09-29,17
116,°ü¾Ç»ê,2017-09-30,30
116,°ü¾Ç»ê,2017-10-01,22
116,°ü¾Ç»ê,2017-10-02,20
116,°ü¾Ç»ê,2017-10-03,31
116,°ü¾Ç»ê,2017-10-04,19
116,°ü¾Ç»ê,2017-10-05,12
116,°ü¾Ç»ê,2017-10-06,10
116,°ü¾Ç»ê,2017-10-08,16
116,°ü¾Ç»ê,2017-10-09,21
116,°ü¾Ç»ê,2017-10-10,19
116,°ü¾Ç»ê,2017-10-12,18
116,°ü¾Ç»ê,2017-10-13,22
116,°ü¾Ç»ê,2017-10-14,16
116,°ü¾Ç»ê,2017-10-15,17
116,°ü¾Ç»ê,2017-10-16,23
116,°ü¾Ç»ê,2017-10-17,30
116,°ü¾Ç»ê,2017-10-18,17
116,°ü¾Ç»ê,2017-10-19,15
116,°ü¾Ç»ê,2017-10-20,21
116,°ü¾Ç»ê,2017-10-21,28
116,°ü¾Ç»ê,2017-10-22,19
116,°ü¾Ç»ê,2017-10-23,17
116,°ü¾Ç»ê,2017-10-24,26
116,°ü¾Ç»ê,2017-10-26,34
116,°ü¾Ç»ê,2017-10-27,39
116,°ü¾Ç»ê,2017-10-28,30
116,°ü¾Ç»ê,2017-10-29,50
116,°ü¾Ç»ê,2017-10-30,31
116,°ü¾Ç»ê,2017-10-31,22
116,°ü¾Ç»ê,2017-11-01,24
116,°ü¾Ç»ê,2017-11-02,26
116,°ü¾Ç»ê,2017-11-03,23
116,°ü¾Ç»ê,2017-11-04,42
116,°ü¾Ç»ê,2017-11-05,22
116,°ü¾Ç»ê,2017-11-06,22
116,°ü¾Ç»ê,2017-11-07,26
116,°ü¾Ç»ê,2017-11-08,45
116,°ü¾Ç»ê,2017-11-09,41
116,°ü¾Ç»ê,2017-11-10,29
116,°ü¾Ç»ê,2017-11-11,58
116,°ü¾Ç»ê,2017-11-12,21
116,°ü¾Ç»ê,2017-11-13,26
116,°ü¾Ç»ê,2017-11-14,34
116,°ü¾Ç»ê,2017-11-15,20
116,°ü¾Ç»ê,2017-11-16,20
116,°ü¾Ç»ê,2017-11-17,22
116,°ü¾Ç»ê,2017-11-18,31
116,°ü¾Ç»ê,2017-11-19,18
116,°ü¾Ç»ê,2017-11-20,25
116,°ü¾Ç»ê,2017-11-21,26
116,°ü¾Ç»ê,2017-11-22,40
116,°ü¾Ç»ê,2017-11-23,15
116,°ü¾Ç»ê,2017-11-24,14
116,°ü¾Ç»ê,2017-11-25,20
116,°ü¾Ç»ê,2017-11-26,37
116,°ü¾Ç»ê,2017-11-27,33
116,°ü¾Ç»ê,2017-11-28,47
116,°ü¾Ç»ê,2017-11-29,36
116,°ü¾Ç»ê,2017-11-30,20
116,°ü¾Ç»ê,2017-12-01,17
116,°ü¾Ç»ê,2017-12-02,22
116,°ü¾Ç»ê,2017-12-03,49
116,°ü¾Ç»ê,2017-12-04,32
116,°ü¾Ç»ê,2017-12-05,16
116,°ü¾Ç»ê,2017-12-06,21
116,°ü¾Ç»ê,2017-12-07,25
116,°ü¾Ç»ê,2017-12-08,21
116,°ü¾Ç»ê,2017-12-09,22
116,°ü¾Ç»ê,2017-12-10,24
116,°ü¾Ç»ê,2017-12-11,30
116,°ü¾Ç»ê,2017-12-12,23
116,°ü¾Ç»ê,2017-12-13,26
116,°ü¾Ç»ê,2017-12-14,30
116,°ü¾Ç»ê,2017-12-15,28
116,°ü¾Ç»ê,2017-12-16,28
116,°ü¾Ç»ê,2017-12-17,28
116,°ü¾Ç»ê,2017-12-18,28
116,°ü¾Ç»ê,2017-12-19,32
116,°ü¾Ç»ê,2017-12-20,21
116,°ü¾Ç»ê,2017-12-21,22
116,°ü¾Ç»ê,2017-12-22,31
116,°ü¾Ç»ê,2017-12-23,66
116,°ü¾Ç»ê,2017-12-24,27
116,°ü¾Ç»ê,2017-12-25,19
116,°ü¾Ç»ê,2017-12-26,19
116,°ü¾Ç»ê,2017-12-27,20
116,°ü¾Ç»ê,2017-12-28,30
116,°ü¾Ç»ê,2017-12-29,59
116,°ü¾Ç»ê,2017-12-30,81
116,°ü¾Ç»ê,2017-12-31,29
